kode,nama,kab_kota,provinsi_1,provinsi_2,link_profil
1741,UNIVERSITAS SULAWESI BARAT,Kabupaten Majene,Sulawesi Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=741
1751,UNIVERSITAS HALUOLEO,Kota Kendari,Sulawesi Tenggara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=751
1752,UNIVERSITAS NEGERI GORONTALO,Kota Gorontalo,Gorontalo,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=752
1753,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,Kabupaten Kolaka,Sulawesi Tenggara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=753
1811,UNIVERSITAS PATTIMURA,Kota Ambon,Maluku,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=811
1821,UNIVERSITAS KHAIRUN,Kota Ternate,Maluku Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=821
1911,UNIVERSITAS CENDERAWASIH,Kota Jayapura,Papua,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=911
1912,UNIVERSITAS MUSAMUS MERAUKE,Kabupaten Merauke,Papua Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=912
1913,ISBI TANAH PAPUA,Kabupate Jayapura,Papua,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=913
1921,UNIVERSITAS PAPUA,Kabupaten Manokwari,Papua Barat,Papua Barat Daya,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=921
